Smiles,Property
COc1cccc(OC)c1C(=O)NNC(=O)c1cccc(COc2ccc3c(c2)CCC3)c1,1
CCN(CC)S(=O)(=O)c1ccc(NC(=O)c2ccc(N(C)S(C)(=O)=O)cc2)cc1,1
COc1ccc(C(=O)Nc2ccc(S(=O)(=O)N3CCc4ccccc43)cc2)cc1,1
O=C(OCC(F)(F)F)c1cccc(COc2ccc3ccccc3c2)c1,1
Cc1ccc(-c2nc3n(n2)Cc2ccccc2-3)cc1,1
COc1ccc2c(c1)oc(=O)c1c3ccccc3[nH]c21,1
CCN(CC)S(=O)(=O)c1ccc(C(=O)Nc2ccc(Cc3ccncc3)cc2)cc1,1
Clc1ccc2ncc(-c3nnnn3-c3ccccc3)c(-c3ccccc3)c2c1,1
O=C(NC(=S)Nc1ccc(N2CCCCC2)c(Cl)c1)c1ccc2c(c1)OCCO2,1
O=C(Nc1cccc(Cl)c1)c1ccc(OC(=S)N2CCOCC2)cc1,1
Cc1ccc(S(=O)(=O)NCc2ccncc2)c(C)c1C,1
CCOC(=O)c1ccc(NC(=O)c2cccc(S(=O)(=O)N3CCOCC3)c2)cc1,1
CCOC(=O)COc1ccc(S(=O)(=O)NCc2ccncc2)cc1,1
c1ccc(-c2nc3cc4ccccc4cc3[nH]2)nc1,1
Nc1nc2ccccc2n1C(=O)c1ccccc1,1
Cc1ccc(C(=O)n2c(N)nc3ccccc32)cc1,1
CC(=O)c1cn(CC(=O)Nc2ccccc2C)c2ccccc12,1
CC(=O)c1cn(CC(=O)Nc2ccc(C)cc2C)c2ccccc12,1
CC(=O)c1cn(CC(=O)Nc2cccc(C)c2C)c2ccccc12,1
CC(=O)c1cn(CC(=O)Nc2ccc(C)c(C)c2)c2ccccc12,1
CC(=O)c1cn(CC(=O)Nc2ccc(C)cc2)c2ccccc12,1
Cc1cccc(OCC(=O)Nc2ccc(N3CCN(C(=O)c4ccco4)CC3)cc2)c1,1
Cc1ccc(-c2cc(C(=O)N3CCCC3)no2)cc1,1
O=C(c1cc(-c2ccc(Cl)cc2Cl)on1)N1CCOCC1,1
COc1ccc(NS(=O)(=O)c2ccc(NC(C)=O)cc2)cc1OC,1
COc1ccc(S(=O)(=O)Nc2ccc3oc(C)c(C(C)=O)c3c2)cc1,1
O=C(Nc1cccc(Br)c1)c1ccc(Cl)c(S(=O)(=O)N2CCOCC2)c1,1
Cc1ccc2nc(-c3ccc(NC(=O)c4cccnc4)cc3)oc2c1,1
Cc1ccnc(NC(=O)c2ccc3c(c2)OCO3)c1,1
Cc1cccc(NC(=O)c2ccc(CN3CCN(Cc4ccccc4)CC3)cc2)c1,1
O=C(NC1c2ccccc2-c2ccccc21)N1CCCCC1,1
O=C(Nc1ccc(S(=O)(=O)N2CCCCC2)cc1)c1ccc(CN2CCOCC2)cc1,1
S=C(Nc1ccccc1)Nc1ccc(OCc2ccc(Cl)cc2Cl)cc1,1
O=C(CSc1nc(-c2ccco2)cc(C(F)(F)F)n1)Nc1ccc(C(=O)N2CCCCC2)cc1,1
O=C(CSc1nnc(Cn2nnc3ccccc32)o1)N(Cc1ccc(Cl)cc1)c1ccccc1,1
COc1ccc(NS(=O)(=O)c2ccc(NC(=O)c3ccc(CN4CCOCC4)cc3)cc2)cc1,1
O=C(Nc1ccc(S(=O)(=O)Nc2ccc(F)cc2)cc1)c1ccc(CN2CCOCC2)cc1,1
CCOc1ccc2nc3sc(C(=O)N4CCOCC4)c(N)c3cc2c1,1
Cc1cccc(-c2nc3cc(NC(=O)C4CCCO4)ccc3o2)c1,1
Cc1ccccc1C(=O)Oc1cccc(Nc2ncnc3ccccc23)c1,1
O=C(Oc1cccc(Nc2ncnc3ccccc23)c1)c1ccccc1Cl,1
O=C(Nc1cc(Cl)ccn1)C1CCN(S(=O)(=O)c2cccs2)CC1,1
Cc1cc(C(=O)CSc2nnc3ccccn23)c(C)n1-c1ccccc1,1
COc1cccc2c1OC[C@@H](CO)[C@H]2N(C)C(=O)Nc1ccc(Cl)cc1Cl,1
CCCCNC(=O)c1onc(CSc2ccccc2CC)c1C(=O)O,1
Nc1nc(Cl)cc(N2CCC(c3cc(-c4ccc(Cl)cc4)n[nH]3)CC2)n1,1
O=[N+]([O-])c1nn(-c2ccc3c(c2)OCCO3)n(O)/c1=N\c1ccccc1,1
O=C(Nc1ccc(-c2nc3cccnc3s2)cc1)C1CCCO1,1
Cc1ccc2nc(-c3ccc(NC(=O)CCS(=O)(=O)c4ccccc4)cc3)sc2c1,1
COC(=O)c1ccc2nc(Nc3nc4ccc(F)cc4s3)sc2c1,1
COc1ccc(/C=C2/SC(=S)N(CCC(=O)O)C2=O)cc1,1
O=C1c2ccccc2C(=O)C1c1ccnc2ccccc12,1
COc1ccc(-c2csc(N3C(=N)SCC3=O)n2)cc1,1
Cc1ccc(C(=O)COC(=O)c2cccs2)cc1,1
CCOc1ccc(OCc2cccc(C(=O)N3CCCCCC3)c2)cc1,1
Cc1cc(NC(=O)c2cccc(COc3ccc(Br)cc3)c2)no1,1
Cn1cc([N+](=O)[O-])c(C(=O)Nc2nc(-c3ccc(Cl)cc3)cs2)n1,1
Cc1ccc(NC(=O)N2CCc3ccccc32)cc1,1
Cc1nn(C)c(C(=O)NCc2ccc(Cl)cc2)c1Cl,1
Cc1nc(SCC(=O)Nc2nc3ccccc3s2)c(C#N)c(C)c1C,1
Cn1c(CN2CCCCC2)nc2cc(NC(=O)c3cccc(Br)c3)ccc21,1
COc1ccc2nc(NC(=O)c3ccoc3C)sc2c1,1
NC(=O)c1c(-c2ccc(Cl)cc2Cl)csc1NC(=O)Cc1ccccc1,1
Cc1cc(C(=O)Nc2nc3c(s2)CCCC3)cs1,1
O=C(Nc1nnc(C(F)(F)F)s1)c1ccc(Br)s1,1
O=C(O)c1cccc(NC(=O)c2ccc(Cl)c(S(=O)(=O)N3CCCCCC3)c2)c1,1
CCOC(=O)c1oc2ccc(S(=O)(=O)Nc3ccc4c(c3)n(C)c(=O)n4C)cc2c1C,1
O=C(Nc1ccc(N2CCN(C(=O)c3ccc(Cl)cc3)CC2)cc1)c1ccc2c(c1)OCCO2,1
O=C(Nc1ccc(N2CCN(C(=O)c3ccco3)CC2)c(Cl)c1)c1cc2ccccc2o1,1
CCOC(=O)c1ccc(NC(=O)c2ccc(CN3CCOCC3)cc2)cc1,1
CCc1nc(C)cn1S(=O)(=O)c1cc(C)c(OC)c(C)c1C,1
CCC(=O)c1ccc(OCc2ccc(C(=O)c3ccccc3)cc2)cc1,1
Cc1cc(/C=c2/sc3nc4ccccc4n3c2=O)c(C)n1-c1ccccn1,1
COc1ccccc1Oc1ccc(S(=O)(=O)Nc2cccnc2)cc1,1
O=C(Nc1ccc(S(=O)(=O)N2CCOCC2)cc1)c1ccc(CN2CCc3ccccc3C2)cc1,1
COc1cccc(C(=O)Nc2nc(-c3ccc(S(=O)(=O)N4CCOCC4)cc3)cs2)c1,1
CCOc1cc(/C=C(/C#N)c2ccc(Cl)cc2)cc(Cl)c1OCC(=O)O,1
O=C(Nc1ccc(Br)cc1)c1ccc(CSC2=NCCS2)cc1,1
COc1ccc(C(=O)Nn2c(SCC(=O)NCc3ccco3)nc3ccccc3c2=O)cc1,1
Cc1cc(Cl)c(S(=O)(=O)N2CCCCCC2)cc1OCC(=O)NC1CCCCC1,1
Cc1ccc(Cl)cc1N1CCN(C(=O)COc2ccc(S(=O)(=O)NC(C)C)cc2)CC1,1
Cc1sc2ncnc(N3CCN(CCOc4ccc(Cl)cc4)CC3)c2c1C,1
COC(=O)CSc1ncnc2c1sc1nc3c(cc12)COC(C)(C)C3,1
O=C(Nc1nc(-c2ccc(S(=O)(=O)N3CCCC3)cc2)cs1)c1cccs1,1
Cc1ccc(S(=O)(=O)N(C)c2ccc(C(=O)N3CCN(Cc4ccc5c(c4)OCO5)CC3)cc2)cc1,1
Cc1nc(-c2ccc(C(=O)Nc3cccc(Br)c3)cc2)cs1,1
O=C(Nc1ccc(CSc2ccccc2)cc1)c1ccc(CN2CCOCC2)cc1,1
O=C(Nc1ccc(Oc2cccnc2)cc1)c1ccc([N+](=O)[O-])cc1,1
O=C1NC(=O)/C(=C\c2ccc(OCc3cccc(C(=O)O)c3)c(Cl)c2)N1,1
Cc1cc(C(=O)CSc2nc(N)cc(=O)[nH]2)c(C)n1-c1ccc(OC(F)F)cc1,1
O=c1[nH]c(N2CCOCC2)nc2c1CCCC2,1
C/N=c1\scc(-c2cccs2)n1/N=C/c1ccccc1O,1
O=c1[nH]c(Nc2nc3ccccc3o2)nc2c1CCCC2,1
O=c1[nH]c(CSc2ccccn2)nc2c1oc1ccccc12,1
Cc1cc(C(=O)CSc2nc(N)cc(=O)[nH]2)c(C)n1-c1ccc(Br)cc1,1
CCCc1n[nH]c2c1/C(=N/O)CC(c1ccccc1)C2,1
C/N=c1\scc(C)n1/N=C/c1ccc(O)cc1O,1
c1ccc(C2=NN/C(=N/C3CC3)SC2)cc1,1
CC(=O)C(/N=N/c1ccc2c(c1)OCCO2)=C(\C)O,1
CCOC(=O)c1c(C)[nH]c(C2=NN/C(=N/c3ccc(OCC)cc3)SC2)c1C,1
c1cc2c(cc1C1=NN/C(=N/C3CC3)SC1)OCCO2,1
Cc1ccc2c(C)nc(Nc3nc(CSc4nc5ccccc5[nH]4)cc(=O)[nH]3)nc2c1,1
CC(C)(C)c1ccc(C2CC2C(=O)N/N=C\c2ccc[nH]2)cc1,1
O=[N+]([O-])c1ccccc1NC(=S)N/N=C/c1ccc(O)c(O)c1,1
COc1ccc(/N=C/C2=C(O)c3ccccc3C2=O)cc1,1
Cc1ccccc1/N=C/C1=C(O)c2ccccc2C1=O,1
Cc1cc(C2=NN/C(=N/C3CC3)SC2)c(C)n1-c1ccccc1F,1
O=C(O)c1cccc(NC(=S)N/N=C/c2c[nH]c3ccccc23)c1,1
COCCC/N=C1/NN=C(c2cc(C)n(-c3ccccc3F)c2C)CS1,1
C/N=c1\scc(-c2ccccc2F)n1/N=C/c1ccc[nH]1,1
O=C(N/N=C/c1ccc[nH]1)c1ccc(COc2cccc3cccnc23)cc1,1
Cc1ccc(C/N=C2/Nc3ccccc3CS2)cc1,1
CC/N=C1/NN=C(c2cc(C)n(Cc3ccco3)c2C)CS1,1
O=C1C(/C=N/c2ccccc2O)=C(O)c2ccccc21,1
CCc1n[nH]c2c1/C(=N\O)CC(c1ccccc1)C2,1
COc1cccc(/C=N/Nc2nccnc2Cl)c1O,1
O=C1C(/C=N/c2ccc(F)cc2)=C(O)c2ccccc21,1
C=CC/N=C1/NN=C(c2cc(C)n(CC=C)c2C)CS1,1
Cc1cc(C2=NN/C(=N/C3CC3)SC2)c(C)n1-c1ccccc1,1
Cc1cc(C2=NN/C(=N/C3CC3)SC2)c(C)n1Cc1ccco1,1
CCN(CC)c1ccc(/C=N/Nc2nc(C)cc(=O)[nH]2)cc1,1
COc1cccc(/C=N/NC(=S)Nc2cccc(C(=O)O)c2)c1O,1
Cc1ccc(C)c(/N=N/c2ccc(O)c3ncccc23)c1,1
COc1cccc(/C=N/Nc2ccc(C(=O)O)cc2)c1O,1
c1ccc2oc(C3=NN/C(=N/C4CC4)SC3)cc2c1,1
COCCn1c(C)cc(C2=NN/C(=N/c3ccccc3F)SC2)c1C,1
O=c1[nH]c(CCl)nc2cc(-c3ccc(Cl)cc3)sc12,1
COc1cc(/C=N/NC(=S)Nc2cccc(C(=O)O)c2)ccc1O,1
O=C(O)c1c2c(nc3ccccc13)/C(=C/c1ccc(O)cc1)CC2,1
O=c1c2ccccc2nc(N/N=C/c2c(O)ccc3ccccc23)n1O,1
O=c1c2ccccc2nc(N/N=C/c2ccc(O)cc2)n1O,1
COc1cc(/C=N/Nc2nn3cnnc3c3ccccc23)ccc1O,1
Cc1ccc(/N=C/C(C(=O)C(F)(F)F)=C(\O)c2cccs2)cc1,1
CC/N=C1/NN=C(c2ccc(C)cc2)CS1,1
COC(=O)c1sccc1N/N=C/c1cccc(OC)c1O,1
C/C(=N/NC(=O)c1cccs1)c1c(C)[nH]n(-c2nc3ccccc3s2)c1=O,1
CCOC(=O)c1c(C)[nH]c(C2=NN/C(=N/C3CC3)SC2)c1C,1
COc1cc(/C=N/Nc2ccc(C(F)(F)F)cn2)cc(OC)c1O,1
C=CC/N=C1/NN=C(c2ccc3c(c2)OCCO3)CS1,1
C/N=c1\scc(-c2ccccc2Br)n1/N=C/c1ccc[nH]1,1
O/C(=C\c1ccc2ccccc2n1)c1ccc(O)cc1O,1
